Exp	Action	Color	Shape	Size	ObjVel	ObjHandVel	HandVel	Contact
1	touch	green2	circle	medium	slow	slow	slow	long
2	touch	green2	circle	medium	slow	slow	slow	long
3	touch	green2	circle	medium	slow	slow	slow	long
4	touch	green2	circle	medium	slow	slow	slow	long
5	touch	green2	circle	medium	slow	slow	slow	long
6	touch	green2	circle	medium	slow	slow	slow	long
7	touch	green2	box	medium	slow	slow	slow	long
8	touch	green2	box	medium	slow	slow	slow	long
9	touch	green2	box	medium	slow	slow	slow	long
10	touch	green2	box	medium	slow	slow	slow	long
11	touch	green2	box	medium	slow	slow	slow	long
12	touch	green2	circle	small	slow	slow	slow	long
13	touch	green2	box	small	slow	slow	slow	long
14	touch	green2	box	small	slow	slow	slow	long
15	touch	green2	circle	small	slow	slow	slow	long
16	touch	green2	box	small	slow	slow	slow	long
17	touch	green2	circle	small	slow	slow	slow	long
18	touch	green2	circle	small	slow	slow	slow	long
19	touch	green2	circle	small	slow	slow	slow	long
20	touch	green2	circle	small	slow	slow	slow	long
21	touch	green2	circle	small	slow	slow	slow	long
22	grasp	green2	circle	medium	medium	slow	fast	long
23	grasp	green2	circle	medium	medium	slow	fast	long
24	grasp	green2	circle	medium	medium	slow	fast	long
25	grasp	green2	circle	medium	medium	slow	fast	long
26	grasp	green2	circle	medium	medium	slow	fast	long
27	grasp	green2	circle	medium	medium	slow	fast	long
28	grasp	green2	circle	medium	medium	slow	fast	long
29	grasp	green2	circle	medium	medium	slow	fast	long
30	grasp	green2	circle	medium	medium	slow	fast	long
31	tap	green2	circle	medium	fast	fast	slow	short
32	tap	green2	circle	medium	medium	slow	slow	short
33	tap	green2	circle	medium	slow	slow	slow	short
34	tap	green2	circle	medium	fast	medium	slow	short
35	tap	green2	circle	medium	fast	fast	slow	short
36	tap	green2	circle	medium	fast	fast	slow	short
37	tap	green2	circle	medium	fast	fast	slow	short
38	tap	green2	circle	medium	fast	fast	slow	short
39	tap	green2	circle	medium	fast	fast	slow	short
40	tap	green2	circle	medium	medium	fast	slow	short
41	touch	green2	circle	medium	slow	slow	slow	long
42	touch	green2	circle	medium	slow	slow	slow	long
43	touch	green2	circle	medium	slow	slow	slow	long
44	touch	green2	circle	medium	slow	slow	slow	long
45	touch	green2	circle	medium	slow	slow	slow	long
46	touch	green2	circle	medium	slow	slow	slow	long
47	grasp	green2	box	medium	slow	medium	fast	short
48	grasp	green2	box	big	medium	slow	fast	long
49	grasp	green2	box	medium	slow	medium	fast	short
50	grasp	green2	box	big	medium	medium	fast	short
51	grasp	green2	box	big	medium	slow	fast	short
52	grasp	green2	box	big	medium	slow	fast	short
53	grasp	green2	box	medium	slow	medium	fast	short
54	grasp	green2	box	medium	medium	slow	fast	long
55	grasp	green2	box	medium	medium	slow	fast	long
56	grasp	green2	box	big	slow	medium	fast	short
57	tap	green2	box	medium	slow	slow	slow	short
58	tap	green2	box	medium	medium	slow	slow	short
59	tap	green2	box	medium	slow	slow	slow	short
60	tap	green2	box	medium	slow	slow	slow	short
61	tap	green2	box	medium	medium	slow	slow	short
62	tap	green2	box	medium	slow	slow	slow	short
63	tap	green2	box	medium	medium	slow	slow	short
64	tap	green2	box	medium	medium	slow	slow	short
65	tap	green2	box	medium	slow	slow	slow	short
66	tap	green2	box	medium	medium	slow	slow	short
67	touch	green2	box	medium	slow	slow	slow	long
68	touch	green2	box	medium	slow	slow	slow	long
69	touch	green2	box	medium	slow	slow	slow	long
70	touch	green2	box	medium	slow	slow	slow	long
71	touch	green2	box	medium	slow	slow	slow	long
72	grasp	blue	circle	medium	medium	slow	fast	long
73	grasp	blue	circle	medium	medium	slow	fast	long
74	grasp	blue	circle	medium	medium	slow	fast	long
75	grasp	blue	circle	medium	medium	slow	fast	long
76	grasp	blue	circle	medium	medium	slow	fast	long
77	grasp	blue	circle	medium	medium	slow	fast	long
78	grasp	blue	circle	medium	medium	slow	fast	long
79	grasp	blue	circle	medium	medium	slow	fast	long
80	grasp	blue	circle	medium	medium	slow	fast	long
81	grasp	blue	circle	medium	medium	slow	fast	long
82	grasp	blue	circle	medium	medium	slow	fast	long
83	grasp	blue	circle	medium	medium	slow	fast	long
84	tap	blue	circle	medium	medium	slow	slow	short
85	tap	blue	circle	medium	fast	fast	slow	short
86	tap	blue	circle	medium	fast	fast	slow	short
87	tap	blue	circle	medium	medium	slow	slow	short
88	tap	blue	circle	medium	fast	fast	slow	short
89	tap	blue	circle	medium	fast	fast	slow	short
90	tap	blue	circle	medium	medium	slow	slow	short
91	tap	blue	circle	medium	fast	fast	slow	short
92	tap	blue	circle	medium	fast	fast	slow	short
93	tap	blue	circle	medium	fast	fast	slow	short
94	tap	blue	circle	medium	fast	fast	slow	short
95	tap	blue	circle	medium	fast	fast	slow	short
96	tap	blue	circle	medium	fast	fast	slow	short
97	grasp	green1	box	small	slow	medium	fast	short
98	grasp	green1	box	small	medium	slow	fast	long
99	grasp	green1	box	small	medium	medium	fast	long
100	grasp	green1	box	small	medium	slow	fast	long
101	grasp	green1	box	small	medium	slow	fast	long
102	grasp	green1	box	small	fast	medium	fast	long
103	grasp	green1	circle	small	medium	slow	fast	long
104	grasp	green1	box	small	medium	slow	fast	long
105	grasp	green1	box	small	slow	medium	fast	short
106	grasp	green1	box	small	medium	slow	fast	long
107	grasp	green1	box	medium	slow	medium	fast	short
108	grasp	green1	box	medium	slow	medium	fast	short
109	grasp	green1	box	medium	medium	slow	fast	short
110	grasp	green1	box	medium	medium	slow	fast	long
111	grasp	green1	box	medium	medium	slow	fast	short
112	grasp	green1	box	medium	medium	slow	fast	short
113	grasp	green1	box	medium	medium	slow	fast	short
114	grasp	green1	box	medium	slow	medium	fast	short
115	grasp	green1	box	medium	slow	medium	fast	short
116	grasp	green1	box	medium	medium	slow	fast	long
117	tap	green1	box	small	medium	slow	slow	short
